입력 문장,도수,술 종류,맛
"마실 럼를 찾고 있어요. 쌉쌀한이고, 중간 도수면 좋겠어요.",중간,럼,쓴맛
매우 비터한 보드카 중에서 중간 도수가 괜찮을까요?,중간,보드카,쓴맛
"지금 매우 달콤한 보드카가 마시고 싶은데, 높은 도수가 좋아.",높은,보드카,달달한
중간 도수의 정말 매끄러운 럼 한 잔 어때?,중간,럼,부드러운
스위트한 위스키 중에서 도수 중간인 게 궁금해요.,중간,위스키,달달한
도수는 높은로 부탁해요.,높은,럼,알 수 없음
신맛 보드카를 추천해줘.,알 수 없음,보드카,신맛
"높은 도수의 위스키를 추천해주세요, 꽤 프레시한으로!오늘은 높은 도수의 꽤 프레시한 위스키를 마셔야겠어.위스키를 마시고 싶어요. 꽤 프레시한이고 도수는 높은가 좋아요.꽤 프레시한 위스키 한 잔 어때? 도수는 높은로!가볍게 마실 수 있는 높은 도수의 꽤 프레시한 위스키를 찾고 있어요.높은 도수의 위스키 중에 꽤 프레시한인 걸 추천해주세요.친구랑 마실 꽤 프레시한 위스키, 높은 도수로 부탁해요.도수 높은인 꽤 프레시한 위스키를 마셔보고 싶은 기분이에요.꽤 프레시한 위스키가 필요해요. 도수는 높은가 좋겠어요.오늘의 추천 위스키는 높은 도수의 꽤 프레시한 걸로 해주세요.꽤 프레시한 위스키 중에서 도수가 높은인 게 궁금하네요.높은 도수로 마실 만한 꽤 프레시한 위스키, 알려줘.요즘 높은 도수의 꽤 프레시한 위스키에 빠졌어요.도수가 높은이고 꽤 프레시한 위스키, 괜찮을까요?꽤 프레시한 위스키가 끌리는데, 도수는 높은로 골라줘.높은 도수의 꽤 프레시한 위스키 한 잔 생각나네요.위스키 추천해줘! 꽤 프레시한이고 도수는 높은로.",높은,위스키,상큼한
달콤한 럼 중에서 도수 중간인 게 궁금해요.,중간,럼,달달한
럼를 마시고 싶어.,낮은,럼,알 수 없음
도수가 낮은인 술을 추천해줘.,낮은,알 수 없음,상큼한
부드러운 맛이 나는 술을 추천해줘.,알 수 없음,위스키,부드러운
나는 높은 도수의 상당히 쌉쌀한 럼을 마시고 싶어.,높은,럼,쓴맛
오늘은 럼 어때요?,알 수 없음,럼,알 수 없음
신맛한 술 없을까요?,높은,알 수 없음,신맛
"오늘 비터한 칵테일를 마시고 싶어, 도수는 높은로.",높은,칵테일,쓴맛
"중간 도수의 꽤 산뜻한 보드카, 추천할 만한 거 있어?",중간,보드카,상큼한
도수는 중간로 부탁해요.,중간,알 수 없음,달달한
신맛 맛이 나는 술을 추천해줘.,알 수 없음,럼,신맛
"오늘 쌉쌀한 럼를 마시고 싶어, 도수는 높은로.",높은,럼,쓴맛
도수가 높은인 소프트한 칵테일를 마셔보고 싶어요.,높은,칵테일,부드러운
